Aboriginal descent|Aboriginal decent
curriculum|ciriculum
curriculum|curriculem
customers|cusotmers
customers|cutsomers
customer|cusotmer
customer|cutsomer
cuter|cutre
cutlery|cultery
cut|cutted
cyan|cxan
cylinder|cilinder
cylinder|cyclinder
célèbres|c[eé]l[eè]bres
célèbres|celebres
célèbre|c[eé]l[eè]bre
célèbre|celebre
dBFS|dbfs
dBu|dbu
dB|db
dachshund|daschund
daily regimen|daily regiment
daiquiri|dakiri
dalmatian|dalmation
damage|dammage
damaging|damageing
dancing|danceing
dangerous|dangerious
darker than|darker then
daughter|daugher
daughter|daugter
daughter|daugther
daughter|duaghter
day-to-day|day to day
daïses|da[iï]ses
daïses|daises
daïs|da[iï]s
daïs|dais
de facto|de factor
de facto|de-facto
de jure|de-jure
de rigueur|de rigor
de-emphasize|de emphasize
dealt|dealed
deal|dael
death knell|death nail
debatable|debateable
debut|debute
decadence|decadance
decadent|decadant
decaffeinated|decaffinated
decathlon|decathalon
deceived|decieved
deceive|decieve
decidable|decideable
decidedly|decidely
decidedly|decidly
decide|deside
deciding how|deciding on how
deciduous|ecidious
deciphered|decyphered
decipher|decypher
decisions|decisons
decisions|descisions
decisions|desicions
decisions|desisions
decision|decison
decision|descision
decision|desicion
decision|desision
decision|dicision
decommissioned|decomissioned
decomposed|decomposited
decomposes|decomposits
decompose|decomposit
decomposing|decompositing
decrees|decress
decrepit|decrepid
deep-seated|deep-seeded
default|deafult
defendants|defendents
defendant|defendent
defender|defendor
defensively|deffensively
defensive|defencive
defiance|definance
deficit|defecit
defined|deffined
define|deffine
defining|definining
definitely|definately
definitely|definatly
definitely|definetly
definitely|definitley
definitely|definitly
definite|deffinite
definite|definate
definite|definit
definition|deffinition
definition|definiton
definition|defintion
defunct|defuncted
defuse the situation|diffuse the situation
defuse the tension|diffuse the tension
degradation|degredation
degrade|degrate
degrees|degress
deities|deites
deities|dieties
deity|diety
delegates|delagates
delegate|delagate
deliberately|deliberatly
delirious|delerious
delusively|delusionally
delves|devels
demeanor|damenor
demeanor|demenor
demeanour|damenor
demeanour|damenour
demeanour|demenour
democracy|demorcracy
demographic|demographical
demolition|demolision
demonstration|demostration
denigrating|denegrating
densely|densly
department|deparment
department|deptartment
dependence|dependance
dependency|dependancy
dependent|dependant
depending on whom you|depending on who you
depending on|depending of
depending upon whom you|depending upon who you
depends on|depends of
depict|despict
derivative|deriviative
derivative|derivitive
derived|derivated
derived|deriviated
derived|dirived
derogatory|derogitory
derrière|derri[eè]re
derrière|derriere
descendants|decendants
descendants|decendents
descendants|descendands
descendant|decendant
descendant|decendent
descend|decend
descend|desend
described|decribed
described|descibed
described|discribed
describes|decribes
describes|descriibes
describes|discribes
describe|decribe
describe|desribe
describe|discribe
describing|decribing
describing|discribing
description|descriptoin
description|descripton
description|discription
descriptors|descripters
desiccated|dessicated
desiccation|dessication
designate|desginate
designed|desgined
designed|desinged
designed|dessigned
designer|desinger
designing|desigining
designs|designes
design|desgin
design|disign
desirable|desireable
desirable|desirible
desktop|dekstop
desktop|desktiop
despair|dispair
desperate|desparate
desperation|desparation
desperation|despiration
despicable|dispicable
despite its|despite it's
despite|despite of
despite|dispite
destabilised|destablised
destabilized|destablized
destinations|desinations
destined|desitned
destroyer|destoryer
destroy|destory
destroy|distroy
destruction|desctruction
destruction|distruction
destructive|distructive
detached|detatched
detachment|detachement
detachment|detatchment
detach|detatch
detailed|detailled
details|deatils
detector|detecter
detect|dectect
deteriorated|deteoriated
deteriorate|deteriate
deteriorating|deterioriating
deterioration|deteriation
determining|determing
determining|determinining
deterrence|deterance
deterrence|deterence
deterrence|deterrance
deterrent|deterant
deterrent|deterent
deterrent|deterrant
detrimental|detremental
detriment|detrement
devastated|devasted
devastated|devestated
devastate|devestate
devastate|devistate
devastating|devestating
devastating|devistating
devastation|devestation
devastation|devistation
developed|develloped
developed|developped
developed|devolopped
developers|develeoprs
developers|devellopers
developers|developors
developer|develloper
developer|developor
developer|developper
developing|develloping
developments|devellopments
development|delevopment
development|devellopment
development|developement
development|developemet
development|develpment
development|devolopement
development|devolopment
develop|devellop
develop|devellops
develop|develope
develop|develp
device|divice
devil-may-care|devil may care
diabolical|diablical
diamanté|diamant[eé]
diamanté|diamante
diamonds|diamons
diarrhoea|diarhea
dichotomy|dichtomy
did give|did gave
did not|didnot
didn't fare|didn't fair
didn't have|didn't had
didn't|didint
didn't|didnt
did|doed
diesel|diesal
differences|diferences
differences|differances
difference|diference
difference|differance
different from|different to
differentiations|differentiatiations
different|difefrent
different|diferent
different|diferrent
different|differant
different|differemt
different|differnet
different|differnt
different|diffrent
difficulties|diffculties
difficulties|dificulties
difficulty|diffculty
difficulty|difficulity
difficulty|dificulty
difficult|diffcult
difficult|dificult
digitally|digitaly
dignitary|dignatary
dilapidated|delapidated
dilapidate|delapidate
dilate|dialate
dilation|dialation
dilettante|dilletante
diligence|dilligence
diligent|dilligent
dilute|dillute
dimensional|dimentional
dimensional|dimesnional
dimensions|dimenions
dimensions|dimentions
dimension|dimenion
dimension|dimention
diminished|dimished
diminishes|dimishes
diminish|deminish
diminution|diminuation
diminution|diminuition
diminutive|diminuative
diminutive|diminuitive
diminutive|dimunitive
dining room|dinning room
diocese|diosese
diphtheria|diptheria
diphthongs|diphtongs
diphthongs|dipthongs
diphthong|diphtong
diphthong|dipthong
diplomacy|diplomancy
direct effect|direct affect
direction|directiosn
direction|directon
directly|direcly
directly|driectly
directors|directers
director|directer
dirty-movie theater|dirty movie theater
disabilities|disabilites
disagreed|disagreeed
disagreement|dissagreement
disappearance|disappearence
disappearance|dissapearance
disappeared|disapeared
disappeared|disappearred
disappeared|dissapeared
disappearing|dissapearing
disappears|dissapears
disappears|dissappears
disappear|disapear
disappear|dissapear
disappear|dissappear
disappointed|dissapointed
disappointed|dissappointed
disappointing|disapointing
disappointment|disapointment
disappointment|dissapointment
disappointment|dissappointment
disappoint|disapoint
disappoint|dissapoint
disapproval|disaproval
disapprove|disaprove
disarray|dissarray
disaster|diaster
disastrous|disasterous
disastrous|disatrous
disc brake|disc break
discern|decern
disciple|diciple
disciplined|disiplined
discipline|diciplin
discomfort|unconfortability
disconnects|diconnects
discontent|discontentment
discothèques|discoth[eè]ques
discothèques|discotheques
discothèque|discoth[eè]que
discothèque|discotheque
discovered|dicovered
discovered|discoverd
discovering|dicovering
discovers|dicovers
discovery|dicovery
discovery|discoverey
discover|dicover
discover|disover
discrepancy|discrepency
discussed|dicussed
discussion|dicussion
discuss|descuss
discuss|dicuss
disease|desease
disenchanted|disenchanged
disintegrated|desintegrated
disintegration|desintegration
disobedience|disobediance
disobedience|dissobediance
disobedience|dissobedience
disobedient|disobediant
disobedient|dissobediant
disobedient|dissobedient
disorder|desorder
disoriented|desoriented
disparagingly|disparingly
dispatched|despatched
dispelled|dispeled
dispelling|dispeling
dispels|dispells
dispel|dispell
dispensary|dispensery
dispensed|dispenced
dispense|dispence
dispensing|dispencing
displayed|diplayed
display|diaplay
display|diplay
display|dispaly
displease|unplease
disposition|dispostion
disproportionate|disproportiate
disputandum|disputandem
dissatisfaction|disatisfaction
dissatisfied|disatisfied
dissemination|desimination
dissemination|disemination
dissolution|desolution
dissolution|disolution
dissolved|disolved
dissolved|dissoluted
dissolve|desolve
dissolve|disolve
dissonant|dissonent
distillation|distilation
distinction|destinction
distinction|disctinction
distinction|distiction
distinctive|disctinctive
distinct|destinct
distinguished|distingished
distinguished|distingquished
distinguishes|distingishes
distinguishing|distingishing
distinguish|distingish
distributed|ditributed
distribution|distribusion
distribution|distrubution
districts|disricts
disturbed|distrubed
disturb|distirb
disturb|distrub
divided|devided
divided|dividied
divide|devide
divination|divinition
divisions|divisons
division|devision
division|divison
divorcées|divorc[eé]es
divorcées|divorcees
divorcée|divorc[eé]e
divorcée|divorcee
doctoral|doctorial
doctrines|docrines
doctrines|doctines
documentary|documenatry
documentary|documentery
documentary|documentry
documented|doccumented
documents|doccuments
documents|docuement
documents|documnets
document|doccument
document|docuemnt
document|documetn
document|documnet
does not|doe snot
doesn't|doens't
doesn't|doesnt
doesn't|dosen't
doesn't|dosn't
does|doens
does|doese
doing|doign
doing|doimg
doing|doind
doing|donig
doling out|dolling out
dollars|dollers
dominant player|dominate player
dominant role|dominate role
dominant|dominent
dominant|dominiant
domination|dominaton
don't know|don't no
don't|do'nt
don't|dont
door jamb|doorjam
doorjamb|door jam
doppelgängers|doppelg[aä]ngers
doppelgängers|doppelgangers
doppelgänger|doppelg[aä]nger
doppelgänger|doppelganger
doppelgänger|doppleganger
dormant|dorment
doubleheader|double header
double|doulbe
down its|down it's
downloads|dowloads
downside|down side
dozen|dozend
draftsman|draftman
dramatic|dramtic
drank|drinked
draughtsman|draughtman
dreams|derams
dreams|dreasm
dream|deram
dried|dryed
drink|drnik
driving|driveing
dropped|droped
drumless|drummless
drummed|drumed
drummer|drumer
drumming|druming
drums|drumms
drunkenness|drunkeness
dryas|dyas
due to its|due to it's
due to|do to
due to|to due to
dug|digged
dug|dugged
dukedom|dukeship
duly|duely
dumbbell|dumbell
duplicate|dupicate
during its|during it's
during their|during they're
during|druing
during|durig
during|durring
during|duting
dyadic|diadic
dyad|diad
dying|dieing
dynasty|dinasty
dysfunctional|disfunctional
dystopia|distopia
débris|d[eé]bris
débris|debris
débutante|d[eé]butante
débutante|debutante
débutants|d[eé]butants
débutants|debutants
début|d[eé]but
début|debut
débâcles|d[eé]b[aâ]cles
débâcles|debacles
débâcle|d[eé]b[aâ]cle
débâcle|debacle
déclassé|d[eé]class[eé]
déclassé|declasse
décolletage|d[eé]colletage
décolletage|decolletage
décolleté|d[eé]collet[eé]
décolleté|decollete
décors|d[eé]cors
décors|decors
décor|d[eé]cor
décor|decor
découpage|d[eé]coupage
découpage|decoupage
dégagé|d[eé]gag[eé]
dégagé|degage
déjà vu|d[eé]j[aà] vu
déjà vu|deja vu
démodé|d[eé]mod[eé]
démodé|demode
dénoument|d[eé]noument
dénoument|denoument
dérailleur|d[eé]railleur
dérailleur|derailleur
déshabillé|d[eé]shabill[eé]
déshabillé|deshabille
détente|d[eé]tente
détente|detente
dōjō|d[oō]j[oō]
dōjō|dōjō
each alumnus|each alumni
each criterion|each criteria
each has its|each has their
each is|each are
each of the|the each of the
each other|eachother
each phenomenon|each phenomena
each vertebra|each vertebrae
eachother|eachotehr
each|eahc
earlier|ealier
earlier|eariler
earlier|earler
earliest|ealiest
earliest|earlies
early|eary
early|eearly
earned|earnt
easier than|easier then
easily|easiliy
easternmost|eastermost
ecclesiastical|ecclesiatical
ecclesiastical|ecclestiastical
ecclesiastic|ecclesiatic
eclectic|ecclectic
eclectic|eclectric
eclipse|eclispe
economic|ecomonic
economic|econoimic
economic|econoımic
economy|eceonomy
economy|ecomony
ecstasy|ecstacy
ecstasy|esctasy
edition|edtion
editor|editior
educational|eductional
eels|eles
eerily|eeriely
eeriness|eerieness
effect on|affect on
effect upon|affect upon
effects of|affects of
efficiency|effeciency
efficiency|efficency
efficiently|effeciently
efficiently|efficently
efficient|effecient
efficient|efficent
effluence|effulence
efforts|eforts
effort|efort
egg yolk|egg yoke
egregious|aggregious
eighth|eigth
either criterion|either criteria
either phenomenon|either phenomena
either|eiter
eked|eeked
ekes|eeks
eking|eeking
elaborate|elaborite
elected|ellected
electoral|electorial
electric current|electrical current
electrically|electricly
electrical|electrial
electricity|electricty
electricity|eletricity
electronic|eletronic
elementary|elemantary
elementary|elementay
elementary|elimentary
elephant|elphant
elicited|elicided
eligibility|eligability
eligible|eligable
eliminated|eleminated
eliminating|eleminating
ell|e;;|*?
else|alse
else|esle
elusive|ellusive
emanated|eminated
emanate|eminate
embankment|enbankment
embargoes|embargos
embarrassed|embarassed
embarrassed|embarrased
embarrassing|embarassing
embarrassing|embarrasing
embarrassment|embarassment
embarrassment|embarrasment
embarrass|embarass
embarrass|embarras
embedded|embeded
embellishment|embelishment
embellish|embelish
embezzled|embezelled
emblematic|emblamatic
emergency|emergency situation
emigrant|emmigrant
emigrated|emmigrated
eminent domain|imminent domain
eminently|emminently
emissaries|emmisaries
emissaries|emmisarries
emissary|emmisarry
emissary|emmisary
emissions|emmisions
emission|emision
emission|emmision
emission|emmission
emitted|emited
emitted|emmited
emitted|emmitted
emitter|emiter
emitting|emiting
emitting|emmiting
emitting|emmitting
emit|emitt
emphasised|emphaised
emphasis|empahsis
emphasis|emphsis
emphasize|empahsize
emphysema|emphysyma
empirically|imperically
empirical|emperical
empiric|imperic
employs|imploys
en masse|en mass
en route|enroute
enamelled|enameld
encounter|encouter
encounter|encoutner
encouraging|encouraing
encryption|encryptiion
encyclopedia|encylopedia
end if|en dif
endeavors|endevors
endeavours|endevours
endeavour|endevour
ending|endig
endoliths|endolithes
endurance|endurace
endurance|indurance
endure|indure
enemy|enemey
enforcing|enforceing
engagement|engagment
engineering|engeneering
engineering|engineeering
engineers|engieneers
engineer|engeneer
engineer|engieneer
engineer|engineeer
engineer|enginer
enhancement|enchancement
enlargement|enlargment
enmity|emnity
enormously|enourmously
enormous|enourmous
enough|enought
enough|enuogh
ensconced|ensconsed
ensue|insue
entanglements|entaglements
entered|entred
enterprise|enteprise
entertaining|intertaining
entertainment|enteratinment
entertainment|entertainement
entitled|entilted
entitled|entited
entitled|entitied
entitled|entitlied
entitled|in titled
entity|enity
entity|entitity
entrance|enterance
entrance|entrace
entrecôte|entrec[oô]te
entrecôte|entrecote
entrepreneurial|entrepeneurial
entrepreneurs|entrepeneurs
entrepreneur|enterpreneur
entrepreneur|entrepeneur
entrepôt|entrep[oô]t
entrepôt|entrepot
entrusted|intrusted
entrust|intrust
entrées|entr[eé]es
entrées|entrees
entrée|entr[eé]e
entrée|entree
environmentalist|enviornmentalist
environmentalist|enviromentalist
environmentally|enviormentally
environmentally|enviornmentally
environmentally|enviromentally
environmental|enviormental
environmental|enviornmental
environmental|enviromental
environments|enviorments
environments|enviornments
environments|enviroments
environments|envrionments
environment|enivoriment
environment|enviorment
environment|enviornment
environment|enviroment
episodes|epidsodes
episode|epiode
episode|eposide
episode|epsiode
epitome|epitomy
equally|equaly
equatorial|equitorial
equilibrium|equilibium
equilibrium|equilibrum
equipment|equippment
equipment|equiptment
equipped|equiped
equivalent|equialent
equivalent|equilavent
equivalent|equivalant
equivalent|equivelant
equivalent|equivelent
equivalent|equivilant
equivalent|equivilent
equivalent|equivlalent
eradicate|erradicate
erect|errect
erode|errode
erosion|errosion
erratically|eratically
erratically|eraticly
erratic|eratic
erupted|errupted
escape|excape
escape|exscape
especially|especally
especially|especialy
especially|especialyl
especially|espesially
especially|expecially
espresso|expresso
essence|esence
essence|essense
essentially|essentialy
essential|esential
essential|essencial
essential|essentail
essential|essental
essential|essentual
essential|essesital
established|establised
establishes|estabishes
establishing|establising
establishment|establishement
establish|estabilish
establish|estalbish
estimated|esitmated
etc|and etc
etc|ect
ethnocentrism|ethnocentricm
ethnography|etnography
etymology|ethymology
eulogy|euology
euphemism|euphamism
even though|even thought
even though|even tough
eventually|evenhtually
eventually|eventally
eventually|eventially
eventually|eventualy
ever since|eversince
every time|everytime
everything|everthing
every|eveyr
evidently|evidentally
evil|efel
evolutionary|envolutionary
ex-husband|ex husband
ex-wife|ex wife
exacerbated|exerbated
exacerbate|exerbate
exact punishment|extract punishment
exact revenge|extract revenge
exact|excact
exaggerated|exagerated
exaggerated|exagerrated
exaggerates|exagerates
exaggerates|exagerrates
exaggerate|exagerate
exaggerate|exagerrate
exaggerating|exagerating
exaggerating|exagerrating
exalted|exhalted
exalt|exhalt
examined|examinated
examine|examinate
example|exemple
example|exmaple
exasperated|exasparated
exceeded|excedded
exceedingly|exeedingly
exceed|excede
excellence|excellance
excellent|excelent
excellent|excellant
excellent|exelent
excellent|exellent
excels|excells
excel|excell
exceptional|exeptional
except|execpt
except|exept
excerpts|exerpts
excerpt|exerpt
excessive|eccessive
exchanges|exchagnes
exchanges|exhcanges
exchange|excange
exchange|exchagne
exchange|exhcange
exchanging|exchanching
excitement|excitment
exciting|exicting
excludes|exludes
exclusively|exculsivly
excruciating|excrutiating
executable|exeutable
executed|excecuted
executed|exectued
executes|excecutes
execute|excecute
executing|excecuting
execution|excecution
execution|exection
exempt|exampt
exempt|excempt
exercises|exerciese
exercise|excercise
exercise|exercice
exercise|exersize
exercising|execising
exerted|extered
exhaust|exaust
exhaust|exhuast
exhibitions|exibitions
exhibition|exhibtion
exhibition|exibition
exhibit|exibit
exhilarate|exhilirate
exiled|exliled
existed|excisted
existence|existance
existence|existince
existence|exsistance
existence|exsistence
existent|existant
existing|exisiting
exist|exsist
exonerate|exonorate
exorbitant|exhorbitant
exoskeleton|exoskelaton
expansion|exapansion
expansion|expantion
expected|expeced
expedite|expidite
expeditionary|expeditonary
expeditions|expiditions
expelled|expeled
expelling|expeling
expels|expells
expel|expell
expense|expence
experienced|experianced
experienced|exprienced
experience|experiance
experience|experienc
experience|expierence
experience|exprience
experiments|expeiments
experiment|experement
experiment|experment
experiment|expirement
explaining|explaning
explain|expalin
explain|explane
explanation|explaination
explanation|explination
explicitly|explicitely
explicitly|explictly
exploitation|explotation
exploitative|exploititive
exploit|exploitate
exposé|expos[eé]
exposé|expose
expressed|exressed
expropriated|expropiated
expropriation|expropiation
extensions|extentions
extension|extention
extensive|exstensive
external|exerternal
extinct|exinct
extradition|extradiction
extraordinarily|extrordinarily
extraordinary|extrordinary
extraterrestrials|extraterrestials
extraterrestrial|extraterestrial
extraterrestrial|extraterrestial
extravagance|extravagence
extravagant|extravagent
extremely|extemely
extremely|extrememly
extremely|extremley
extremely|extremly
extremely|extrmely
extremist|extermist
extremophile|extremeophile
exuberance|exhuberance
exuberant|exhuberant
eyebrow|eye brow
eyelash|eye lash
eyelid|eye lid
eyesight|eye sight
eyesore|eye sore
facetious|fascitious
facilitate|faciliate
facilitate|facillitate
facilities|facilites
facility|facillity
facsimile|facimile
facsimile|facsimilie
failure|faliure
faithful|faithfull
falsely|falsley
falsely|falsly
false|f[asl]+e
falter|faulter
familiar|familair
familiar|familar
familiar|familliar
familiar|fammiliar
families|familes
families|fimilies
family|famaly
family|familiy
famous|famouse
famous|famoust
fanaticism|fanatism
fared as well|faired as well
fared badly|faired badly
fared better|faired better
fared far|faired far
fared less|faired less
fared little|faired little
fared much|faired much
fared no better|faired no better
fared poorly|faired poorly
fared quite|faired quite
fared rather|faired rather
fared slightly|faired slightly
fared somewhat|faired somewhat
fared well|faired well
fared worse|faired worse
farewell|fairwell
farther than|farther then
fascia|facia
fasciitis|fascitis
fascinated|facinated
fascinate|facinate
fascinate|fasinate
fascination|facination
fascism|fashism
fascist|facist
fashion|fasion
faster than|faster then
fatalities|fatalies
fatalities|fatalites
fatally|fataly
fatally|fately
father-in-law|father in law
favourable|favoutrable
façades|fa[cç]ades
façades|facades
façade|fa[cç]ade
façade|facade
faïence|fa[iï]ence
faïence|faience
feasibility|feasability
feasible|feasable
features|faetures
feature|faeture
feature|feauture
federally|federaly
federally|fedreally
fed|feeded
feel|efel
felt|feeled
fertile|furtile
fertility|fertily
feudal|fuedal
feud|fued
few|fwe
fiancées|fianc[eé]es
fiancées|fiancees
fiancée|fianc[eé]e
fiancée|fiancee
fiancés|fianc[eé]s
fiancés|fiances
fiancé|fianc[eé]
fiancé|fiance
fictional|ficitional
fictional|fictonal
fictitious|ficticious
fictitious|fictious
fictitious|fictous
fields|feilds
field|feild
fiercely|fiercly
fierce|feirce
fiery|firey
fifth|fith
fighting|fightings
figurehead|figure head
filament|filiament
filament|fillament
filed a lawsuit|filled a lawsuit
files|fiels
file|fiel
filmjölk|filmj[oö]lk
filmjölk|filmjolk
filmmaker|filmaker
filmmaking|filmaking
fin de siècle|fin de si[eè]cle
fin de siècle|fin de siecle
finally|fianlly
finally|finaly
finally|finalyl
finally|finnally
finally|finnaly
final|fianl
financially|financialy
financial|finacial
find out|findout
find|fidn
fine-tune|fine tune
finished|finnished
finisher|finnisher
finite|fianite
first-class|first class
first|firt
first|firts
fishes|fishs
fissionable|fisionable
fixed|ficed
fixture|fixure
flabbergast|flabergast
flaccid|flacid
flagged|flaged
flagship|flag ship
flambés|flamb[eé]s
flambés|flambes
flambé|flamb[eé]
flambé|flambe
flammable|flamable
flawless|flawess
flexibility|flexability
flexible|flexable
flight|glight
flourish|fluorish
flown|flewn
fluctuate|fluxuate
fluorescence|flourescence
fluorescent|florescent
fluorescent|flourescent
fluoride|flouride
fluorine|flourine
fluoroscopy|flouroscopy
fluoroscopy|fluroscopy
flurry|flury
flèche|fl[eè]che
flèche|fleche
focused|focussed
focuses|focusses
focusing|focussing
focus|focuse
focus|foucs
foliage|foilage
folie à deux|folie [aà] deux
folie à deux|folie a deux
folies à deux|folies [aà] deux
folies à deux|folies a deux
follicle|folicle
follow suit|follow suite
followed|folowed
follower|folower
following its|following it's
following|follwoing
following|folowing
follow|follwo
follow|folow
football|foootball
footwear|footware
for a long time|for along time
for a while|for awhile
for all intents and purposes|for all intensive purposes
for a|fora
for both|both for both
for him and|for he and
for its|for it's
for many years|since many years
for quite a while|for quite awhile
for the|forthe
for the|fot the
for whom to|for who to
for whom|for who
for years|since years
forbade|forbad
forbade|forebade
forbad|forebad
forbidden|forbiden
forbidden|forebidden
forbid|forebid
forceps|foreceps
forebode|forbode
forecasting|forcasting
forecast|forcast
foreclose|forclose
foreclosure|forclosure
foregone conclusion|forgone conclusion
foreground|fore ground
forehead|forhead
foreigner|foriegner
foreign|foriegn
foremost|formost
forerunner|for-runner
forerunner|forrunner
forerunner|forunner
foresaw|forsaw
foreseeable|forseeable
foreseen|forseen
foreshadow|forshadow
foresight|forsight
forestall|forstall
forest|forrest
foretelling|fortelling
foretell|fortell
forewarn|forwarn
foreword|foreward
forfeiture|forefieture
forfeiture|forfieture
forfeit|forefeit
forfeit|forefiet
forfeit|forfiet
forget|foreget
forgive|foregive
forgo her|forego her
forgo his|forego his
forgo their|forego their
forgo|forgoe
forlese|forelese
forlorn|forelorn
formalised|formallised
formalise|formallise
formalized|formallized
formalize|formallize
formally|formaly
formal|formall
format|fromat
formed|fomed
formed|fromed
formerly known as|formally know as
formerly known as|formerly know as
formerly|fomerly
formerly|formelly
formerly|fromerly
former|fomer
forming|froming
formulate|forumlate
formula|forumla
forsaken|foresaken
forsake|foresake
forsook|foresook
forties|fourties
fortunately|fortunatly
forty|fourty
forwards|forwrds
forwards|fowards
forward|forwrd
forward|foward
fouetté|fouett[eé]
fouetté|fouette
fought|faught
fought|fighted
fought|fougth
foundation|fundation
foundries|foundaries
foundry|foundary
found|foudn
fourth place|forth place
fourth|forth
fourth|fouth
fragment|fragement
frappés|frapp[eé]s
frappés|frappes
frappé|frapp[eé]
frappé|frappe
fraught|frought
free rein|free reign
frequently|frequentily
fried chicken|friend chicken
friendly|freindly
friends|firends
friends|freinds
friends|friens
friend|firend
friend|freind
from the|fromt he
from the|fromthe
from the|fron the
from whom|from who
from|ffrom
from|frmo
from|frome
front-rower|front rower
frontier|froniter
frontier|fronteir
frontispiece|frontpiece
frontispiece|frontspiece
frozen|frozed
fruition|fruiton
fruition|frution
frustrate|fustrate
frustum|frustrum
fräulein|fr[aä]ulein
fräulein|fraulein
fulfilled|fufilled
fulfilled|fulfiled
fulfill|fufill
fulfill|fullfil
fulfill|fullfill
full complement of|full compliment of
full-time|full time
functionally|functionaly
function|fuction
function|funtion
fundamentally|fundamentaly
fundamentals|fundametals
fundamental|fundametal
fundamental|fundemental
funeral|furneral
fungi|funguses
furc|firc
furniture|furnature
furthermore|furhtermore
furthermore|futhermore
further|furhter
further|furuther
further|futher
fêtes|f[eê]tes
fêtes|fetes
fête|f[eê]te
fête|fete
galactic|galatic
galaxies|gallaxies
galvanised|galvinised
galvanized|galvinized
games|ganes
gangster|ganster
garrison|garisson
garrison|garnison
garrison|garrision
garrison|garrisson
garçons|gar[cç]ons
garçons|garcons
garçon|gar[cç]on
garçon|garcon
gauge|guage
gave advice|gave advise
gemütlichkeit|gem[uü]tlichkeit
gemütlichkeit|gemutlichkeit
genealogical|geneological
genealogies|geneologies
genealogy|geneology
genera or genre|genra
generally|generaly
general|geberal
general|gemeral
general|genaral
general|genearl
general|genreal
generating|generatting
generator|generater
generic|generical
genesis|genisis
genitalia|genialia
genius or genus|genuis
gentlemen's|gentlemens
geographical|geographicial
geometers|geometricians
geometer|geometrician
get past|get pass
get set up|get setup
get used to|get use to
gets its|gets it's
gets|get's
getting used to|getting use to
getting|geting
getting|gettin
gilded|guilded
girlfriend|girlfreind
girls' basketball|girl's basketball
girls' bathroom|girl's bathroom
girls' bowling|girl's bowling
girls' cheerleading|girl's cheerleading
girls' cross country|girl's cross country
girls' diving|girl's diving
girls' doubles|girl's doubles
girls' fencing|girl's fencing
girls' field hockey|girl's field hockey
girls' football|girl's football
girls' golf|girl's golf
girls' gymnastics|girl's gymnastics
girls' hockey|girl's hockey
girls' ice hockey|girl's ice hockey
girls' lacrosse|girl's lacrosse
girls' restroom|girl's restroom
girls' school|girl's school
girls' singles|girl's singles
girls' soccer|girl's soccer
girls' softball|girl's softball
girls' sports|girl's sports
girls' swimming|girl's swimming
girls' team|girl's team
girls' tennis|girl's tennis
girls' track|girl's track
girls' volleyball|girl's volleyball
girls' wrestling|girl's wrestling
girls'|girls's
give advice|give advise
given|gievn
gives advice|gives advise
gives|give's
giving|giveing
glacé|glac[eé]
glacé|glace
glamorous|glamourous
glance|glace
global|gloabl
glögg|gl[oö]gg
glögg|glogg
gnawed|gnawwed
goddesses|godesses
goddess|godess
going through|going threw
going|goign
going|gonig
going|oging
good riddance|good riddens
good|giid
got run|got ran
got set up|got setup
got shut down|got shutdown
got shut out|got shutout
got|managed to get
governance|goverance
governmentally|governmentaly
governmental|govermental
governmental|govormental
government|govement
government|govenment
government|govenrment
government|goverment
government|governement
government|governmnet
government|govorment
government|govornment
governor|gouvener
governor|govenor
governor|governer
grabbed|grabed
grabbing|grabing
graceful|gracefull
gradually|gradualy
graffiti|graffitti
graffiti|grafitti
grammar|grammer
grammatically|gramatically
grammatically|grammaticaly
grammatical|gramattical
grandchildren|granchildren
grandchild|granchild
granddaughter|grandaughter
grandeur|grandure
grandfather|granfather
grandmother|granmother
grandparent|granparent
grandson|granson
gratefully|greatfully
grateful|gratefull
grateful|greatful
gratuitous|gratuitious
greater than|greater then
greatly|greately
great|gerat
great|graet
great|grat
griddles|gridles
grief|greif
grievance|greviance
grievous|grevious
groundwork|ground work
groups|gruops
group|gropu
group|gruop
grow|grwo
guanine|gunanine
guarana|gauarana
guaranteed|garanteed
guaranteed|gauranteed
guaranteed|gaurenteed
guaranteed|guarenteed
guaranteed|guranteed
guarantees|garantees
guarantees|gaurantees
guarantees|gaurentees
guarantees|guarentees
guarantees|gurantees
guarantee|garantee
guarantee|gaurantee
guarantee|gaurentee
guarantee|guarentee
guarantee|gurantee
guaraná|gauarana
guaraná|guaran[aá]
guardian|gaurdian
guardian|guradian
guard|gaurd
guard|gurad
guest-starred|guest stared
guidance|guidence
guide|giude
guilt|giult
guitarist|guitarrist
guttural|guttaral
guttural|gutteral
guys|gusy
gyrated|girated
gyrates|girates
gyrate|girate
gyrating|girating
gyration|giration
gâteaus|g[aâ]teaus
gâteaus|gateaus
gâteaux|g[aâ]teaux
gâteaux|gateaux
gâteau|g[aâ]teau
gâteau|gateau
habeas corpus|habeus corpus
habeas|habaeus
habeas|habeus
habitué|habitu[eé]
habitué|habitue
habit|habbit
had arisen|had arose
had awoken|had awoke
had become|had became
had been|had be
had been|had being
had been|had ben
had been|hadbeen
had begun|had began
had borne|had bore
had broken|had broke
had brought|had brung
had chosen|had chose
had come back|had comeback
had come|had came
had cut off|had cut-off
had done|had did
had drawn|had drew
had driven|had drove
had drunk|had drank
had fallen|had fell
had flown|had flew
had forbidden|had forbad
